Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1067;Sebastian Griesbeck;GER;MF;Union Berlin;Bundesliga;311;0;9;0;0;0
1068;Sebastian Griesbeck;GER;DFMF;Greuther F�rth;Bundesliga;3129;28;2439;0.04;0.26;0.07
1069;Antoine Griezmann;FRA;FW;Barcelona;La Liga;313;3;263;0;1.38;0
1070;Antoine Griezmann;FRA;FWMF;Atl�tico Madrid;La Liga;3126;21;1695;0.16;2.39;0.69
1071;Vincenzo Grifo;ITA;MFFW;Freiburg;Bundesliga;2934;33;2775;0.29;2.01;0.58
1072;Lennart Grill;GER;GK;Leverkusen;Bundesliga;231;1;90;0;0;0
1073;Florian Grillitsch;AUT;DFMF;Hoffenheim;Bundesliga;2618;16;1496;0;0.48;0.12
1074;Arnaut Groeneveld;NED;FW;Villarreal;La Liga;2523;17;1472;0.61;3.6;1.52
1075;Pascal Gro�;GER;MFDF;Brighton;Premier League;3029;24;2038;0.09;1.02;0.31
1076;Carlos Gruezo;ECU;MF;Augsburg;Bundesliga;2717;9;970;0;0.93;0
1077;Vicente Guaita;ESP;GK;Crystal Palace;Premier League;3530;30;2655;0;0;0
1078;Andr�s Guardado;MEX;MF;Betis;La Liga;3528;17;1393;0;0.9;0.19
1079;Sergi Guardiola;ESP;FW;Rayo Vallecano;La Liga;3132;20;1710;0.42;2.53;0.84
1080;Nemanja Gudelj;SRB;MFDF;Sevilla;La Liga;3021;9;1046;0;0.34;0.17
1081;Gabriel Gudmundsson;SWE;DFMF;Lille;Ligue 1;2330;15;1344;0.07;1.34;0.4
1082;Noah Guede-Nadje;FRA;FW;Angers;Ligue 1;181;0;3;0;0;0
1083;Gon�alo Guedes;POR;FWMF;Valencia;La Liga;2536;30;2606;0.38;2.31;0.83
1084;Marc Gu�hi;ENG;DF;Crystal Palace;Premier League;2136;36;3222;0.06;0.5;0.14
1085;Matt�o Guendouzi;FRA;MF;Marseille;Ligue 1;2338;35;3152;0.11;1.43;0.54
1086;Yanis Guermouche;FRA;MFFW;Montpellier;Ligue 1;213;0;11;0;0;0
1087;Rapha�l Guerreiro;POR;DF;Dortmund;Bundesliga;2823;21;1795;0.2;1.56;0.5
1088;Evann Guessand;FRA;FW;Nice;Ligue 1;2020;2;438;0.2;2.65;0.82
1089;Ander Guevara;ESP;MF;Real Sociedad;La Liga;2417;11;867;0;0.21;0
1090;Lamine Gueye;SEN;MFFW;Metz;Ligue 1;2414;7;555;0;2.26;1.13
1091;Pape Gueye;SEN;MF;Marseille;Ligue 1;2328;17;1528;0;1.76;0.24
1092;John Guidetti;SWE;FWMF;Alav�s;La Liga;3010;2;279;0;3.23;0.65
1093;Josuha Guilavogui;FRA;MFDF;Bordeaux;Ligue 1;3115;15;1331;0.07;0.61;0.2
1094;Josuha Guilavogui;FRA;MFDF;Wolfsburg;Bundesliga;3115;10;942;0;0.76;0.19
1095;Frederic Guilbert;FRA;DF;Strasbourg;Ligue 1;2733;28;2516;0;0.86;0.18
1096;Hugo Guillam�n;ESP;MFDF;Valencia;La Liga;2231;28;2361;0.04;0.27;0.08
1097;Bruno Guimar�es;BRA;MF;Lyon;Ligue 1;2420;19;1634;0;0.6;0.11
1098;Bruno Guimar�es;BRA;MF;Newcastle Utd;Premier League;2417;11;1034;0.43;1.91;0.96
1099;Sehrou Guirassy;GUI;FW;Rennes;Ligue 1;2637;7;1016;0.8;3.98;1.5
1100;P�ter Gul�csi;HUN;GK;RB Leipzig;Bundesliga;3233;33;2967;0;0;0
1101;Manuel Gulde;GER;DF;Freiburg;Bundesliga;3120;14;1225;0;0.07;0
1102;Gerard Gumbau;ESP;MF;Elche;La Liga;2731;20;1890;0;1.05;0.19
1103;Robert Gumny;POL;DF;Augsburg;Bundesliga;2328;27;2272;0;0.28;0
1104;�lkay G�ndo�an;GER;MF;Manchester City;Premier League;3127;20;1857;0.39;2.67;0.87
1105;Angus Gunn;ENG;GK;Norwich City;Premier League;269;9;810;0;0;0
1106;Christian G�nter;GER;DF;Freiburg;Bundesliga;2934;34;3060;0.06;0.71;0.18
1107;Koray G�nter;GER;DF;Hellas Verona;Serie A;2730;29;2411;0;0.22;0.07
1108;Lasse G�nther;GER;DF;Augsburg;Bundesliga;195;1;161;0;1.11;0
1109;Jon Guridi;ESP;MF;Real Sociedad;La Liga;278;1;206;0.43;0.87;0.43
1110;Malo Gusto;FRA;DF;Lyon;Ligue 1;1930;21;1884;0;0.53;0
1111;Ra�l Guti;ESP;MF;Elche;La Liga;2531;17;1627;0;0.99;0.28
1112;Marcos Mauro L�pez Guti�rrez;ARG;DF;C�diz;La Liga;313;1;136;0;0;0
1113;Miguel Guti�rrez;ESP;DF;Real Madrid;La Liga;203;3;260;0;0;0
1114;Albert Gu?mundsson;ISL;FWMF;Genoa;Serie A;2412;6;607;0.15;1.34;0.15
1115;Jo�ko Gvardiol;CRO;DF;RB Leipzig;Bundesliga;2029;28;2409;0.07;0.86;0.26
1116;Emmanuel Gyasi;GHA;FWDF;Spezia;Serie A;2836;35;3035;0.18;1.16;0.42
1117;Norbert Gy�mb�r;SVK;DF;Salernitana;Serie A;2931;30;2563;0;0.32;0.07
1118;Erling Haaland;NOR;FW;Dortmund;Bundesliga;2124;21;1911;1.04;3.49;1.46
1119;Nicolas Haas;SUI;MF;Empoli;Serie A;2616;11;1001;0;0.63;0.18
1120;Janik Haberer;GER;MF;Freiburg;Bundesliga;2826;7;818;0.33;1.43;0.33
1121;Alexander Hack;GER;DF;Mainz 05;Bundesliga;2828;24;2074;0.13;1;0.22
1122;Robin Hack;GER;FWMF;Arminia;Bundesliga;2330;13;1364;0;2.04;0.39
1123;Munir El Haddadi;MAR;FWMF;Sevilla;La Liga;2616;4;474;0.38;2.45;1.32
1124;Andr� Hahn;GER;MFFW;Augsburg;Bundesliga;3132;25;2101;0.21;1.93;0.86
1125;Amadou Haidara;MLI;MF;RB Leipzig;Bundesliga;2420;15;1326;0.2;0.95;0.34
1126;Massadio Ha�dara;MLI;DF;Lens;Ligue 1;2920;12;1076;0.08;0.33;0.08
1127;Oualid El Hajjam;MAR;DF;Troyes;Ligue 1;3119;12;1072;0.08;0.92;0.25
1128;Achraf Hakimi;MAR;DF;Paris S-G;Ligue 1;2332;28;2479;0.15;0.76;0.36
1129;Marcel Halstenberg;GER;DF;RB Leipzig;Bundesliga;308;5;507;0.18;0.89;0.18
1130;Pierre-Yves Hamel;FRA;FWDF;Lorient;Ligue 1;283;0;30;0;0;0
1131;Pierre-Yves Hamel;FRA;FW;Clermont Foot;Ligue 1;2817;6;523;0;2.41;0.69
1132;Romain Hamouma;FRA;FW;Saint-�tienne;Ligue 1;3522;7;886;0.2;2.24;0.71
1133;Samir Handanovi?;SVN;GK;Inter;Serie A;3737;37;3330;0;0;0
1134;Grant Hanley;SCO;DF;Norwich City;Premier League;3033;33;2897;0.03;0.62;0.12
1135;Ridgeciano Haps;SUR;DF;Venezia;Serie A;2825;24;2056;0.04;0.48;0.09
1136;Genki Haraguchi;JPN;MF;Union Berlin;Bundesliga;3130;23;1755;0.1;1.49;0.31
1137;Amine Harit;MAR;FWMF;Marseille;Ligue 1;2423;12;1165;0.31;1.16;0.54
1138;Varazdat Haroyan;ARM;DF;C�diz;La Liga;2917;16;1437;0.06;0.25;0.13
1139;Jack Harrison;ENG;FWMF;Leeds United;Premier League;2535;32;2639;0.27;1.5;0.58
1140;Abdou Harroui;NED;MF;Sassuolo;Serie A;2422;3;452;0;2.6;0.4
1141;Luis Hartwig;GER;MF;Bochum;Bundesliga;191;0;2;0;0;0
1142;Makoto Hasebe;JPN;DF;Eint Frankfurt;Bundesliga;3818;12;1187;0;0;0
1143;Hans Hateboer;NED;DF;Atalanta;Serie A;2821;16;1386;0;1.1;0.13
1144;Kortney Hause;ENG;DF;Aston Villa;Premier League;267;4;397;0.23;0.45;0.45
1145;Kai Havertz;GER;FWMF;Chelsea;Premier League;2229;22;1809;0.4;2.79;1.14
1146;Isaac Hayden;ENG;MFDF;Newcastle Utd;Premier League;2714;12;1002;0.09;0.54;0.09
1147;Eden Hazard;BEL;FWMF;Real Madrid;La Liga;3118;7;717;0;1.5;0.88
1148;Thorgan Hazard;BEL;FWDF;Dortmund;Bundesliga;2923;14;1337;0.27;1.48;0.4
1149;Jonas Hector;GER;DF;K�ln;Bundesliga;3230;30;2553;0;0.63;0.18
1150;Hwang Hee-chan;KOR;FW;RB Leipzig;Bundesliga;262;0;49;0;2;0
1151;Hwang Hee-chan;KOR;FWMF;Wolves;Premier League;2630;20;1816;0.25;1.44;0.59
1152;Silvan Hefti;SUI;DF;Genoa;Serie A;2416;14;1288;0;0.35;0.07
1153;Dominique Heintz;GER;DF;Union Berlin;Bundesliga;287;7;467;0;0.19;0.19
1154;Dominique Heintz;GER;DF;Freiburg;Bundesliga;281;0;29;0;0;0
1155;Jordan Henderson;ENG;MF;Liverpool;Premier League;3135;29;2597;0.07;1.07;0.21
1156;Liam Henderson;SCO;MF;Empoli;Serie A;2638;23;2020;0.09;1.88;0.67
1157;Jeff Hendrick;IRL;MF;Newcastle Utd;Premier League;303;0;72;1.25;1.25;1.25
1158;Wayne Hennessey;WAL;GK;Burnley;Premier League;352;2;180;0;0;0
1159;Benjamin Henrichs;GER;DF;RB Leipzig;Bundesliga;2522;12;1143;0.24;1.18;0.47
1160;Henrique;BRA;DF;Lyon;Ligue 1;2818;12;1105;0;0.41;0
1161;Dalbert Henrique;BRA;DFMF;Cagliari;Serie A;2828;27;2081;0;0.43;0.04
1162;Luis Henrique;BRA;FWMF;Marseille;Ligue 1;2020;7;699;0;0.77;0.26
1163;Matheus Henrique;BRA;MF;Sassuolo;Serie A;2425;10;1078;0;0.58;0
1164;Rico Henry;ENG;DF;Brentford;Premier League;2434;33;2776;0.1;0.45;0.16
1165;Thomas Henry;FRA;FW;Venezia;Serie A;2733;23;2115;0.38;2.13;0.98
1166;Christophe H�relle;MTQ;DF;Brest;Ligue 1;2923;23;1932;0;0.23;0.09
1167;J�r�me Hergault;FRA;DFMF;Lorient;Ligue 1;368;5;352;0;0.26;0
1168;Kike Hermoso;ESP;DF;Betis;La Liga;221;1;90;1;2;1
1169;Mario Hermoso;ESP;DF;Atl�tico Madrid;La Liga;2626;21;1865;0.1;0.82;0.19
1170;Aridane Hern�ndez;EQG;DF;Osasuna;La Liga;3315;12;1159;0;0.16;0
1171;Lucas Hern�ndez;FRA;DF;Bayern Munich;Bundesliga;2625;25;2030;0;0.18;0.04
1172;Luis Hern�ndez;ESP;DF;C�diz;La Liga;3316;15;1366;0;0.39;0.07
1173;Mario Hern�ndez;ESP;DFFW;Rayo Vallecano;La Liga;239;5;395;0.23;0.68;0.23
1174;Theo Hern�ndez;FRA;DF;Milan;Serie A;2432;30;2711;0.17;1.33;0.43
1175;Hernani;BRA;MFFW;Genoa;Serie A;2818;7;682;0;1.32;0.53
1176;Ander Herrera;ESP;MF;Paris S-G;Ligue 1;3219;12;1091;0.25;1.16;0.25
1177;H�ctor Herrera;MEX;MF;Atl�tico Madrid;La Liga;3221;8;859;0;0.95;0.42
1178;Sergio Herrera;ESP;GK;Osasuna;La Liga;2836;36;3240;0;0;0
1179;Yangel Herrera;VEN;MF;Espanyol;La Liga;2423;19;1645;0.05;0.82;0.16
1180;Patrick Herrmann;GER;DFFW;M'Gladbach;Bundesliga;3123;5;754;0;1.79;0.48
1181;Son Heung-min;KOR;FWMF;Tottenham;Premier League;2935;35;3006;0.69;2.57;1.41
1182;Daan Heymans;BEL;MFFW;Venezia;Serie A;227;2;256;0;1.07;0.36
1183;Aaron Hickey;SCO;DF;Bologna;Serie A;1936;34;2820;0.16;0.67;0.42
1184;Piero Hincapi�;ECU;DF;Leverkusen;Bundesliga;2027;20;1754;0.05;0.46;0.05
1185;Martin Hinteregger;AUT;DF;Eint Frankfurt;Bundesliga;2927;25;2222;0.04;0.65;0.16
1186;Marwin Hitz;SUI;GK;Dortmund;Bundesliga;345;4;405;0;0;0
1187;Ki-Jana Hoever;NED;DF;Wolves;Premier League;208;4;308;0;0.29;0
1188;Nicolas H�fler;GER;MF;Freiburg;Bundesliga;3230;30;2600;0.07;1.11;0.35
1189;Jonas Hofmann;GER;MFFW;M'Gladbach;Bundesliga;2926;24;2078;0.52;2.29;0.91
1190;Rob Holding;ENG;DF;Arsenal;Premier League;2615;9;845;0.11;0.43;0.11
1191;Lucas H�ler;GER;FWMF;Freiburg;Bundesliga;2734;30;2583;0.24;2.13;0.91
