342:1974,25,Georg Ericson,1048
343:1974,217,Miljan Miljanic,1090
344:1974,72,Hristo Mladenov,1107
345:1974,6,Ferruccio Valcareggi,1109
346:1974,14,Roberto Porta,1111
347:1974,87,Antoine Tassy,1112
348:1974,40,Willie Ormond,1116
349:1974,38,Rale Rasic,1117
350:1974,29,Luis Alamos,1118
351:1974,219,Blagoje Vidinic,1119
352:1970,1,Mario Zagallo,1140
353:1970,6,Ferruccio Valcareggi,1109
354:1970,11,Helmut Schoen,1145
355:1970,14,Juan Hohberg,1146
356:1970,23,Didi,1037
357:1970,13,Raul Cardenas,1154
358:1970,218,Gavril Kachalin,1156
359:1970,5,Alf Ramsey,1157
360:1970,2,Raymond Goethals,1162
361:1970,76,Emmanuel Sheffer,1163
362:1970,72,Stefan Bozhkov,1164
363:1970,22,Blagoje Vidinic,1165
364:1970,216,Jozef Marko,1168
365:1970,53,Angelo Niculescu,1169
366:1970,25,Orvar Bergmark,1048
367:1970,74,Hernan Carrasco,1172
368:1966,5,Alf Ramsey,1157
369:1966,11,Helmut Schoen,1145
370:1966,9,Otto Gloria,1202
371:1966,218,Nikolai Morozov,1203
372:1966,112,Rye Hyun Myung,1208
373:1966,3,Juan Carlos Lorenzo,1214
374:1966,36,Lajos Baroti,1215
375:1966,14,Ondino Viera,1218
376:1966,4,Henri Guerin,1219
377:1966,72,Rudolf Vytlacil,1177
378:1966,7,Jose Villalonga,1223
379:1966,29,Luis Alamos,1226
380:1966,13,Ignacio Trellez,1154
381:1966,15,Alfredo Foni,1228
382:1966,1,Vicente Feola,1231
383:1966,6,Edmondo Fabbri,1234
384:1962,1,Aymore Moreira,1252
385:1962,216,Rudolf Vytlacil,1253
386:1962,29,Fernando Riera,1258
387:1962,217,Ljubomir Lovric,1259
388:1962,218,Gavril Kachalin,1265
389:1962,5,Walter Winterbottom,1268
390:1962,36,Lajos Baroti,1270
391:1962,11,Sepp Herberger,1271
392:1962,72,Georgi Pachedzhiev,1272
393:1962,13,Ignacio Trellez,1273
394:1962,6,Paolo Mazza,1277
395:1962,15,Karl Rappan,1278
396:1962,17,Adolfo Pedernera,1281
397:1962,14,Juan Carlos Corazzo,1218
398:1962,3,Juan Carlos Lorenzo,1287
399:1962,7,Helenio Herrera,1288
400:1958,1,Vicente Feola,1242
401:1958,25,George Raynor,1313
402:1958,4,Albert Batteaux,1316
403:1958,11,Sepp Herberger,1271
404:1958,59,Peter Doherty,1328
405:1958,217,Aleksandar Tirnanic,1330
406:1958,19,James Murphy,1331
407:1958,218,Gavril Kachalin,1332
408:1958,216,Karel Kolsky,1253
409:1958,36,Lajos Baroti,1335
410:1958,5,Walter Winterbottom,1338
411:1958,47,Aurelio Gonzalez,1340
412:1958,3,Guillermo Stabile,1347
413:1958,34,Josef Argauer,1351
414:1958,13,Antonio Lopez,1273
415:1958,40,Dawson Walker,1359
416:1954,11,Sepp Herberger,1382
417:1954,36,Gusztav Sebes,1383
418:1954,34,Walter Nausch,1387
419:1954,14,Juan Lopez,1388
420:1954,217,Aleksandar Tirnanic,1395
421:1954,1,Zeze Moreira,1396
422:1954,5,Walter Winterbottom,1338
423:1954,15,Karl Rappan,1405
424:1954,45,Sandro Puppo,1409
425:1954,6,Lajos Czeizler,1413
426:1954,28,Yong Shik Kim,1419
427:1954,2,Doug Livingstone,1423
428:1954,40,Andy Battie,1430
429:1954,216,Josef Cejp,1253
430:1954,4,Pierre Pibarot,1365
431:1954,13,Antonio Lopez,1435
432:1950,25,George Raynor,1450
